zoneamento;tam_terreno;forma_terreno;qualidade_geral;condicao;ano_construcao;qualidade_aquecedor;ar_condicionado;tam_primeiro_andar;tam_segundo_andar;tam_sala_estar;qtde_quartos;qualidade_cozinha;qtde_banheiros;qtde_comodos;qtde_lareiras;qtde_carros_garagem;tam_garagem;tam_piscina;qualidade_piscina;mes_venda;ano_venda;preco
RM;692.034447;Reg;7;7;1930;Ex;Y;102.936524;0.0;102.936524;3;Gd;1;6;1;1;26.01284;0.0;NotAv;6;2007;565964.0
RL;905.061026;Reg;8;5;2002;Ex;Y;166.760885;0.0;166.760885;3;Gd;2;7;1;2;49.610202;0.0;NotAv;9;2008;933800.0
RM;392.422272;Reg;5;7;1976;TA;Y;98.47718;0.0;98.47718;3;TA;1;6;1;2;53.140516000000005;0.0;NotAv;6;2007;527394.0
RL;766.078138;IR1;5;8;1968;Ex;Y;98.47718;0.0;98.47718;3;Gd;1;6;1;1;25.08381;0.0;NotAv;5;2010;625239.9999999999
RL;1322.00969;Reg;8;5;2007;Ex;Y;148.6448;0.0;148.6448;3;Gd;2;7;1;3;82.68366999999999;0.0;NotAv;7;2009;1040578.0
RL;668.9016;Reg;5;7;1951;TA;Y;83.6127;0.0;83.6127;3;Gd;1;5;0;2;53.512128000000004;0.0;NotAv;5;2010;547288.0
RL;1066.340634;Reg;8;5;2007;Ex;Y;158.306712;0.0;158.306712;3;Gd;2;7;1;3;71.72111600000001;0.0;NotAv;5;2010;1242359.9999999998
RL;1516.269863;IR1;5;6;1957;TA;Y;148.6448;0.0;148.6448;2;TA;1;6;2;1;29.636057;0.0;NotAv;12;2006;842449.9999999999
RM;587.518572;IR1;4;6;1927;Fa;N;48.30956;0.0;48.30956;1;Fa;1;4;0;1;22.29672;0.0;NotAv;5;2008;278110.0
C (all);789.6754999999998;Reg;4;4;1920;TA;N;60.294047;62.059204;122.353251;3;TA;1;6;0;1;23.22575;0.0;NotAv;7;2008;162399.99999999994
RL;793.763232;IR1;5;6;1966;Gd;Y;114.084884;0.0;114.084884;3;Gd;1;6;0;1;25.176713;0.0;NotAv;6;2008;606360.9999999999
RL;1026.485247;Reg;8;5;2007;Ex;Y;114.642302;0.0;114.642302;3;Gd;2;7;0;2;44.965052;0.0;NotAv;1;2008;730393.9999999999
RL;980.312456;IR1;5;5;1959;Gd;Y;157.9351;0.0;157.9351;4;Gd;1;6;1;2;41.527640999999996;0.0;NotAv;4;2010;671929.9999999999
RL;679.399639;Reg;9;5;2005;Ex;Y;145.02158300000002;0.0;145.02158300000002;2;Ex;2;6;1;2;51.654068;0.0;NotAv;8;2007;1126650.0
RL;1008.833677;Reg;5;5;1994;Ex;Y;101.914591;0.0;101.914591;3;TA;1;6;0;2;62.430816;0.0;NotAv;6;2009;588700.0
RL;792.648396;Reg;5;6;1954;Gd;Y;120.49519099999999;0.0;120.49519099999999;3;TA;1;5;1;2;46.265694;0.0;NotAv;10;2009;621179.9999999999
RL;735.977566;Reg;5;7;1953;TA;Y;98.198471;0.0;98.198471;3;Gd;1;5;0;1;22.854138;0.0;NotAv;1;2010;442540.0
RL;561.13412;Reg;4;5;1955;TA;N;107.02425600000001;0.0;107.02425600000001;2;Fa;2;6;0;0;0.0;0.0;NotAv;6;2008;332919.99999999994
RL;804.3541740000001;Reg;6;5;1965;Ex;Y;123.00357199999999;0.0;123.00357199999999;3;TA;2;6;1;2;40.877320000000005;0.0;NotAv;12;2006;649599.9999999999
RL;1570.5252150000001;Reg;5;6;1959;Gd;Y;123.375184;0.0;123.375184;2;TA;1;5;2;1;28.614124;0.0;NotAv;7;2007;690199.9999999999
RL;854.7076;IR1;5;6;1975;TA;Y;87.14301400000001;0.0;87.14301400000001;3;TA;1;5;0;1;28.614124;0.0;NotAv;7;2008;528815.0
RL;738.114335;Reg;5;6;1959;Ex;Y;106.83845;0.0;106.83845;3;TA;1;6;0;1;27.8709;0.0;NotAv;5;2006;572460.0
RL;711.451174;Reg;9;5;2005;Ex;Y;162.766056;0.0;162.766056;2;Ex;2;6;1;2;53.512128000000004;0.0;NotAv;2;2010;1298793.9999999998
RL;1191.202266;IR1;7;5;2003;Ex;Y;141.026754;58.621793000000004;199.648547;1;Gd;1;6;1;2;62.24501;0.0;NotAv;8;2009;973125.16
FV;1030.8516880000002;Reg;8;5;2006;Ex;Y;153.847368;0.0;153.847368;3;Gd;2;7;0;3;76.73787800000001;0.0;NotAv;7;2007;1013782.0
RM;413.975768;Reg;4;5;1920;Gd;Y;68.37660799999999;66.518548;134.89515600000001;2;TA;2;8;0;0;0.0;0.0;NotAv;6;2009;458780.0
RL;719.2550259999999;Reg;5;7;1966;Ex;Y;88.722365;0.0;88.722365;3;TA;1;6;0;1;35.860558000000005;0.0;NotAv;1;2007;515620.0
RL;1288.471707;IR2;6;6;1997;Gd;Y;73.76498199999999;62.802428000000006;136.56741;3;TA;2;6;0;2;36.046364000000004;0.0;NotAv;7;2007;718619.9999999999
RM;579.7147199999998;Reg;6;6;1934;TA;Y;75.808848;0.0;109.253928;3;TA;1;6;1;2;49.052784;0.0;NotAv;9;2006;464870.0
RM;787.074216;IR2;5;5;1963;TA;N;75.808848;0.0;75.808848;2;TA;1;5;0;2;47.937948;0.0;NotAv;5;2010;446600.0
RL;4670.326713;IR1;9;5;1981;Gd;Y;171.127326;0.0;171.127326;0;Gd;0;5;1;3;83.05528199999999;0.0;NotAv;11;2006;1563099.9999999998
RL;662.770002;Reg;5;5;1955;TA;Y;126.34808000000001;0.0;126.34808000000001;3;TA;1;6;1;2;53.140516000000005;0.0;NotAv;2;2007;527800.0
RL;945.288025;IR1;6;5;1964;Gd;Y;132.386775;0.0;132.386775;3;TA;2;7;1;2;53.512128000000004;0.0;NotAv;7;2008;732829.9999999999
FV;245.72843500000002;Reg;8;5;1999;Ex;Y;91.323649;70.234668;161.558317;3;Gd;2;7;0;2;44.59344;0.0;NotAv;8;2009;700349.9999999999
RL;1081.855435;IR1;7;5;2004;Ex;Y;79.89658;79.89658;159.79316;3;Gd;2;7;0;2;52.49019499999999;0.0;NotAv;8;2006;797789.9999999999
RL;1271.098846;IR2;10;5;2006;Ex;Y;132.479678;141.11965700000002;273.599335;3;Gd;3;10;1;3;59.550823;0.0;NotAv;10;2006;1781446.7999999996
RL;668.9016;Reg;5;7;1972;Ex;Y;72.46433999999998;0.0;72.46433999999998;2;TA;1;4;0;1;32.701856;0.0;NotAv;1;2008;507094.0
RL;1214.428016;Reg;6;5;2004;Ex;Y;107.581674;0.0;107.581674;3;Gd;1;5;0;2;53.512128000000004;0.0;NotAv;5;2006;641479.9999999999
RM;668.9016;Reg;5;7;1920;TA;N;53.976643;49.23859;103.215233;3;Fa;1;6;0;1;26.756064000000002;0.0;NotAv;3;2007;410060.0
RL;598.481126;IR1;8;5;2006;Ex;Y;127.27711000000001;0.0;127.27711000000001;2;Gd;2;6;1;2;44.965052;0.0;NotAv;10;2007;734478.354430727
RM;956.9009;IR1;7;6;1921;Gd;Y;83.798506;75.065624;158.86413000000002;3;TA;2;9;0;2;44.59344;0.0;NotAv;4;2010;568400.0
RL;870.965625;Reg;7;5;1997;Ex;Y;98.198471;90.766231;188.964702;3;Gd;2;8;0;2;59.922435;0.0;NotAv;2;2009;891169.9999999999
RL;891.032673;Reg;8;5;2004;Ex;Y;106.188129;123.56098999999999;229.749119;4;Gd;2;9;1;3;79.153356;0.0;NotAv;10;2007;1287019.9999999998
RL;1848.7697;Reg;7;5;1970;TA;Y;205.036921;0.0;205.036921;3;TA;2;7;1;2;53.512128000000004;0.0;NotAv;7;2010;730799.9999999999
RL;990.810495;IR1;7;5;2003;Ex;Y;137.403537;0.0;137.403537;3;Gd;2;7;0;2;51.839874;0.0;NotAv;6;2007;917560.0
RM;428.09702400000003;Reg;4;6;1945;TA;Y;69.39854100000001;0.0;69.39854100000001;2;TA;1;4;0;1;20.438660000000002;0.0;NotAv;6;2010;324799.99999999994
RL;1448.636479;Reg;7;4;1953;TA;Y;121.14551200000001;91.323649;212.469161;3;TA;2;7;1;2;61.966301;0.0;NotAv;7;2006;913500.0
RL;1268.2188529999999;IR1;7;6;1973;Ex;Y;206.523369;0.0;206.523369;3;TA;2;8;2;2;47.937948;0.0;NotAv;2;2007;990640.0
RL;705.969897;Reg;4;6;1982;TA;Y;78.503035;0.0;78.503035;2;TA;1;4;0;2;33.44508;0.0;NotAv;6;2007;525770.0
RL;942.129323;IR1;7;5;1998;Gd;Y;82.219155;77.388199;159.60735400000002;3;TA;2;7;1;2;39.669581;0.0;NotAv;12;2009;751099.9999999999
RL;947.6106;Reg;5;7;1954;Gd;Y;100.892658;0.0;100.892658;3;TA;1;6;0;2;45.52247;0.0;NotAv;5;2010;588294.0
RM;537.90837;Reg;3;6;1915;Gd;N;78.03851999999999;71.07079499999999;149.10931499999998;3;TA;2;8;0;1;35.210237;0.0;NotAv;5;2010;436044.0
RM;148.27318799999998;Reg;4;5;1973;TA;Y;48.866978;42.921186;91.788164;2;TA;1;5;0;1;27.592190999999996;0.0;NotAv;11;2009;369460.0
RL;787.352925;IR1;4;7;1956;Ex;Y;88.443656;0.0;88.443656;2;TA;1;4;0;1;26.291549;0.0;NotAv;4;2008;551145.0
RM;802.217405;Reg;5;5;1948;TA;Y;99.592016;19.788339;119.38035500000001;2;TA;1;6;0;1;22.29672;0.0;NotAv;1;2008;515620.0
RL;1001.308534;Reg;4;5;1968;TA;N;164.25250400000002;0.0;164.25250400000002;4;TA;2;8;0;0;0.0;0.0;NotAv;4;2010;554190.0
RM;969.9073199999999;Reg;5;6;1910;Gd;Y;63.359846;50.910844;114.27068999999999;2;TA;1;5;0;2;40.877320000000005;0.0;NotAv;5;2009;446600.0
RL;1207.739;Reg;6;6;1968;TA;Y;109.811346;89.18688;198.998226;4;Gd;2;8;1;1;47.287627;0.0;NotAv;6;2009;785609.9999999999
RM;418.0635;Reg;6;5;1998;Ex;Y;124.21131100000001;0.0;124.21131100000001;2;TA;2;5;0;2;37.625715;0.0;NotAv;3;2006;623209.9999999999
RL;948.168018;Reg;8;5;2007;Ex;Y;145.20738899999998;0.0;145.20738899999998;3;Gd;2;6;1;3;70.420474;0.0;NotAv;10;2008;994700.0
RL;826.093476;IR1;5;5;1960;Gd;Y;98.941695;0.0;98.941695;3;TA;1;6;0;2;42.828283;0.0;NotAv;7;2007;513590.0
RL;792.4625900000001;IR1;7;5;1995;Gd;Y;74.694012;62.24501;136.939022;3;TA;2;7;1;2;37.1612;0.0;NotAv;5;2009;684109.9999999999
RL;1491.929277;Reg;8;5;1991;Ex;Y;120.866803;103.679748;224.54655099999997;4;Gd;2;9;1;2;42.921186;0.0;NotAv;4;2006;1055600.0
RL;1106.5676330000001;IR2;6;5;2005;Ex;Y;63.545652000000004;81.383028;144.92868;3;Gd;2;6;1;2;37.1612;0.0;NotAv;3;2009;706439.9999999999
FV;367.059753;Reg;6;5;2009;Ex;Y;56.856636;56.856636;113.713272;2;Gd;2;4;0;2;49.052784;0.0;NotAv;6;2009;667869.9999999999
C (all);786.8884099999999;IR1;3;2;1915;TA;N;94.110739;0.0;141.769978;2;Fa;1;6;0;0;0.0;0.0;NotAv;10;2009;345099.99999999994
RL;749.72721;Reg;4;5;1994;Ex;Y;91.97397;0.0;91.97397;3;TA;1;5;0;0;0.0;0.0;NotAv;8;2007;501816.0
RL;668.9016;Reg;4;5;1950;TA;Y;96.61912;0.0;96.61912;2;TA;1;4;0;2;39.019259999999996;0.0;NotAv;7;2006;446194.0
RL;789.6754999999998;Reg;5;3;1961;TA;Y;114.73520500000001;0.0;114.73520500000001;2;TA;1;6;0;2;44.59344;0.0;NotAv;12;2006;400316.0
RL;1241.18408;IR1;5;7;1921;Ex;Y;89.558492;0.0;89.558492;2;TA;1;5;0;2;40.134096;0.0;NotAv;8;2009;663809.9999999999
C (all);668.9016;Reg;6;6;1910;Ex;N;117.05778000000001;95.782993;212.84077299999998;4;TA;2;9;1;2;47.008918;0.0;NotAv;11;2007;543634.0
RL;867.435311;IR1;6;5;1997;Ex;Y;84.077215;81.847543;165.924758;3;Gd;2;7;0;2;63.545652000000004;0.0;NotAv;5;2007;831284.9999999999
RL;907.1977949999999;IR2;6;8;1993;Gd;Y;63.174040000000005;73.39336999999999;136.56741;3;TA;2;6;1;2;39.019259999999996;0.0;NotAv;4;2009;751099.9999999999
RL;953.556392;IR1;7;5;1999;Ex;Y;147.52996399999998;0.0;147.52996399999998;3;Gd;2;6;0;2;43.850215999999996;0.0;NotAv;8;2006;868839.9999999999
RL;1014.5936630000001;Reg;4;5;1965;TA;Y;89.18688;0.0;89.18688;3;TA;1;6;0;1;40.134096;0.0;NotAv;5;2007;384685.0
RL;987.094375;Reg;5;5;1920;Fa;N;77.574005;0.0;77.574005;2;TA;1;5;0;1;34.002497999999996;0.0;NotAv;5;2010;336979.99999999994
RL;865.85596;IR1;4;5;1959;Fa;Y;113.806175;0.0;113.806175;3;TA;1;6;0;0;0.0;0.0;NotAv;1;2010;523537.0
RL;985.050509;IR1;6;7;1977;Gd;Y;149.57383000000002;0.0;149.57383000000002;3;Gd;2;6;2;2;44.59344;0.0;NotAv;2;2010;832299.9999999999
RL;855.2650179999998;Reg;6;5;1985;TA;Y;90.766231;70.141765;160.907996;3;Gd;2;7;1;2;44.221828;0.0;NotAv;6;2010;722679.9999999999
RL;651.993254;Reg;5;5;1979;TA;Y;142.606105;0.0;142.606105;4;TA;2;8;0;2;38.09023;0.0;NotAv;6;2009;482993.84
RL;966.377006;IR1;7;5;2009;Ex;Y;113.899078;0.0;113.899078;3;Gd;2;6;0;3;68.74821999999999;0.0;NotAv;5;2010;807533.9999999999
RM;720.741474;Reg;7;4;1931;Ex;Y;113.899078;54.998576;168.89765400000002;4;TA;1;7;2;1;22.29672;0.0;NotAv;6;2007;688169.9999999999
FV;870.965625;Reg;8;5;2003;Ex;Y;97.826859;87.235917;185.062776;3;Gd;2;9;1;2;60.20114399999999;0.0;NotAv;8;2008;1015000.0
RM;1003.3524;Reg;4;7;1885;Gd;Y;97.269441;0.0;97.269441;2;TA;1;6;0;1;25.362519;0.0;NotAv;8;2007;406000.0
RM;557.418;Reg;5;5;1948;Ex;Y;73.300467;0.0;73.300467;2;TA;1;5;0;1;23.22575;0.0;NotAv;4;2008;466900.0
RM;789.6754999999998;Reg;5;7;1919;TA;N;92.624291;48.30956;140.933851;3;Fa;2;7;0;0;0.0;0.0;NotAv;8;2007;466900.0
RL;1091.703153;IR1;6;6;1977;Ex;Y;171.313132;0.0;171.313132;3;TA;2;7;1;2;50.725038;0.0;NotAv;1;2010;771399.9999999999
RL;884.901075;Reg;6;4;1954;Gd;Y;112.97004799999999;59.365017;172.335065;4;TA;2;7;0;1;30.193475;0.0;NotAv;10;2006;555814.0
RL;719.99825;IR1;7;5;2000;Ex;Y;71.906922;60.944368000000004;132.85128999999998;3;TA;2;7;1;2;37.1612;0.0;NotAv;4;2010;730799.9999999999
RL;925.7783949999999;Reg;7;5;2007;Ex;Y;119.101646;131.36484199999998;250.466488;4;Ex;2;10;1;3;73.579176;0.0;NotAv;10;2007;1558918.2
RL;1950.963;Reg;6;5;1953;TA;Y;209.867877;0.0;209.867877;3;Gd;2;7;2;2;41.80635;0.0;NotAv;10;2007;881019.9999999999
RL;674.382877;IR1;6;8;1945;Ex;Y;133.40870800000002;82.12625200000001;215.53496;3;Gd;2;9;1;1;16.72254;0.0;NotAv;7;2007;1053570.0
FV;300.07669;Reg;6;5;1999;Gd;Y;67.726287;67.726287;135.452574;2;TA;2;5;1;2;40.877320000000005;0.0;NotAv;6;2007;714559.9999999999
RL;1079.1612480000001;Reg;5;5;1962;TA;Y;101.450076;0.0;101.450076;3;TA;1;6;1;1;26.756064000000002;0.0;NotAv;9;2009;564340.0
RL;793.020008;Reg;5;5;2006;Gd;Y;104.515875;0.0;104.515875;2;TA;1;5;0;2;39.94829;0.0;NotAv;4;2007;629299.9999999999
RL;1149.7675279999999;Reg;7;5;1990;Gd;Y;157.842197;141.491269;299.333466;5;Gd;3;11;2;3;55.18438199999999;0.0;NotAv;5;2010;1299199.9999999998
RL;786.052283;Reg;6;5;2005;Ex;Y;67.63338399999999;67.63338399999999;135.26676799999998;3;Gd;2;8;1;2;36.23217;0.0;NotAv;7;2006;665799.3999999999
RL;1993.048059;IR1;6;5;1969;Ex;Y;91.788164;0.0;91.788164;1;TA;1;4;2;2;50.16762;0.0;NotAv;10;2006;730799.9999999999
RM;562.99218;Reg;4;5;1939;Gd;Y;71.72111600000001;32.608953;104.330069;3;TA;1;4;0;1;24.526392;0.0;NotAv;6;2007;406000.0
RL;879.233992;Reg;6;7;1958;Gd;Y;100.33524;0.0;100.33524;3;TA;1;5;0;1;26.756064000000002;0.0;NotAv;6;2008;552160.0
RL;733.190476;Reg;6;5;1993;Ex;Y;111.390697;0.0;111.390697;2;Gd;2;5;0;2;49.23859;0.0;NotAv;3;2008;624833.9999999999
RL;1583.3458289999999;IR1;6;5;1979;TA;Y;147.34415800000002;0.0;147.34415800000002;3;TA;2;7;1;2;40.412805;0.0;NotAv;1;2009;734859.9999999999
RM;629.88234;Reg;6;8;1935;Gd;N;48.30956;0.0;70.048862;2;TA;1;5;0;0;0.0;0.0;NotAv;6;2006;343069.99999999994
RL;457.825984;IR1;6;5;1976;TA;Y;89.001074;0.0;89.001074;2;TA;2;5;1;2;40.877320000000005;0.0;NotAv;2;2007;519680.0
RM;407.658364;IR1;5;7;1930;Ex;Y;78.03851999999999;0.0;78.03851999999999;3;TA;1;5;1;0;0.0;0.0;NotAv;6;2007;353219.99999999994
RL;705.13377;Reg;6;5;1966;TA;Y;61.31598;63.917264;125.233244;3;TA;1;6;1;2;42.085059;0.0;NotAv;7;2006;629299.9999999999
RL;833.6186190000001;Reg;5;7;1958;TA;Y;97.826859;0.0;97.826859;3;Ex;1;6;0;2;69.67725;0.0;NotAv;7;2006;608999.9999999999
RL;1319.2226;Reg;7;6;1966;Ex;Y;112.97004799999999;87.421723;200.391771;4;Gd;2;8;2;2;45.243761;0.0;NotAv;5;2006;917560.0
RL;1135.646272;IR1;6;5;2000;Ex;Y;94.946866;95.875896;190.822762;3;Gd;2;7;1;2;36.23217;0.0;NotAv;7;2009;990640.0
RL;686.367364;Reg;5;6;1959;Gd;Y;123.28228100000001;0.0;123.28228100000001;3;Gd;1;7;0;2;57.971472;0.0;NotAv;7;2007;612044.9999999999
RL;636.664259;IR1;8;5;2001;Ex;Y;120.40228799999998;0.0;120.40228799999998;2;Gd;2;6;0;2;43.757313;0.0;NotAv;6;2009;893199.9999999999
RL;960.152505;IR1;5;6;1968;Gd;Y;159.88606299999998;0.0;159.88606299999998;3;TA;2;7;1;2;40.877320000000005;0.0;NotAv;7;2006;730799.9999999999
RL;966.1912;Reg;7;6;1970;Gd;Y;156.262846;0.0;156.262846;3;TA;2;7;1;2;49.23859;0.0;NotAv;5;2008;706439.9999999999
RL;962.010565;IR1;5;5;1967;TA;Y;112.78424199999999;0.0;112.78424199999999;3;TA;2;5;1;1;29.543153999999998;0.0;NotAv;7;2007;580580.0
RL;1028.43621;Reg;7;5;1988;Gd;Y;181.99697700000002;0.0;181.99697700000002;5;TA;3;9;0;3;71.163698;0.0;NotAv;7;2006;694259.9999999999
RL;842.258598;IR1;8;5;1999;Ex;Y;93.274612;78.78174399999999;172.056356;3;Gd;2;7;2;3;61.31598;0.0;NotAv;12;2008;933800.0
RL;1433.121678;IR1;6;5;1997;Ex;Y;86.213984;77.66690799999999;163.880892;3;Gd;2;7;0;2;43.66441;0.0;NotAv;8;2009;939890.0
RL;975.4815;Reg;4;5;1971;TA;Y;80.268192;0.0;80.268192;3;TA;1;5;1;0;0.0;0.0;NotAv;4;2010;466900.0
RL;1081.855435;Reg;7;5;2005;Ex;Y;161.093802;0.0;161.093802;3;Gd;2;7;0;2;61.31598;0.0;NotAv;1;2006;1055600.0
RL;791.53356;Reg;5;4;1952;Fa;Y;84.54173;44.128925;128.670655;4;TA;2;6;0;2;66.89016;0.0;NotAv;6;2010;673959.9999999999
RL;960.152505;IR1;7;5;1999;Ex;Y;139.447403;0.0;139.447403;3;Gd;2;6;0;2;53.605031000000004;0.0;NotAv;6;2009;828239.9999999999
RM;845.4173;Reg;5;5;1963;TA;Y;160.536384;0.0;160.536384;6;TA;2;10;0;2;46.823112;0.0;NotAv;11;2006;507500.0
RM;234.301366;Reg;6;5;2004;Ex;Y;90.11591;68.65531700000001;158.771227;3;Gd;2;7;0;2;35.30314;0.0;NotAv;4;2006;527800.0
RM;568.5663599999999;Reg;5;7;1931;TA;Y;81.290125;0.0;81.290125;2;TA;1;5;0;1;16.72254;0.0;NotAv;11;2009;426300.0
RL;883.0430150000001;IR1;7;5;2001;Ex;Y;82.12625200000001;106.931353;189.057605;3;Gd;2;8;1;2;40.319902;0.0;NotAv;5;2010;903350.0
RL;696.7725;Reg;7;5;2004;Ex;Y;100.33524;0.0;100.33524;3;Gd;1;6;0;0;0.0;0.0;NotAv;4;2008;572460.0
RM;579.7147199999998;Reg;5;4;1936;Gd;Y;83.241088;41.620544;124.861632;3;TA;1;7;0;1;22.29672;0.0;NotAv;4;2006;466900.0
RL;962.103468;Reg;5;6;1975;TA;Y;90.02300699999998;0.0;90.02300699999998;3;TA;1;5;0;2;40.877320000000005;0.0;NotAv;1;2007;495320.0
RL;1290.5155730000001;Reg;8;5;2007;Ex;Y;158.86413000000002;0.0;158.86413000000002;2;Gd;2;6;1;3;80.453998;0.0;NotAv;1;2008;1511952.12
RL;1375.243109;IR1;6;5;1971;Gd;Y;101.914591;83.241088;185.155679;4;TA;2;8;1;2;45.986985;0.0;NotAv;6;2006;771399.9999999999
RL;1254.1905;Reg;6;7;1960;Gd;Y;116.31455600000001;0.0;116.31455600000001;1;TA;1;4;1;2;52.397292;0.0;NotAv;3;2008;954100.0
RM;1053.52002;Reg;6;5;1923;TA;Y;111.4836;0.0;111.4836;4;TA;1;7;0;1;28.985736;0.0;NotAv;3;2006;507500.0
RL;891.8688;Reg;6;5;1924;Fa;N;53.140516000000005;48.681172;101.821688;2;TA;1;5;0;0;0.0;0.0;NotAv;4;2008;320739.99999999994
RL;668.9016;Reg;5;7;1950;TA;Y;96.61912;0.0;96.61912;2;TA;1;5;0;2;58.064375;0.0;NotAv;6;2006;444570.0
RL;1115.114709;Reg;8;5;2009;Ex;Y;71.906922;110.92618200000001;182.833104;4;Ex;2;8;1;3;63.174040000000005;0.0;NotAv;5;2010;1094170.0
FV;1166.1184560000002;Reg;7;5;2004;Ex;Y;92.066873;88.815268;180.882141;3;Gd;2;8;1;2;62.988234;0.0;NotAv;5;2010;1034894.0
RL;1800.274334;IR1;7;5;2005;Ex;Y;129.320976;99.40621;228.727186;4;Gd;2;9;1;2;53.512128000000004;0.0;NotAv;3;2006;1299199.9999999998
RL;1033.08136;IR1;6;6;1984;TA;Y;114.456496;0.0;114.456496;3;TA;2;6;0;2;47.937948;0.0;NotAv;6;2008;659749.9999999999
RL;1271.656264;IR1;9;5;2003;Ex;Y;146.04351599999998;101.821688;247.865204;3;Ex;2;10;2;3;67.44757800000001;0.0;NotAv;3;2008;1674749.9999999998
RL;1131.7443460000002;Reg;7;5;2005;Ex;Y;143.163523;0.0;143.163523;3;Gd;2;7;1;2;49.424396;0.0;NotAv;5;2010;893199.9999999999
RL;510.9665;Reg;4;6;1956;Ex;Y;81.940446;0.0;81.940446;1;TA;1;4;0;0;0.0;0.0;NotAv;4;2007;418992.0
RM;501.6762;Reg;6;7;1926;Gd;Y;106.745547;43.385701;150.131248;3;Gd;2;5;0;1;20.067048;0.0;NotAv;10;2007;617119.9999999999
RL;938.877718;Reg;5;7;1940;Gd;Y;75.065624;50.817941;125.88356499999999;4;TA;2;6;0;0;0.0;0.0;NotAv;9;2008;517650.0
RL;994.805324;IR1;5;5;1955;Ex;Y;173.449901;0.0;173.449901;2;TA;1;7;3;1;28.149609;0.0;NotAv;11;2009;771399.9999999999
